cdr_id,calling_number,called_number,call_timestamp,duration_seconds,call_type,cell_tower_id,calling_imei,called_imei
CDR-DEL-0902-01,+919871044219,+919811200341,2026-09-02T17:38:00Z,30,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-02,+919871044219,+919811200341,2026-09-02T17:53:00Z,42,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-03,+919871044219,+919811200341,2026-09-02T18:08:00Z,54,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-04,+919871044219,+919811200341,2026-09-02T18:23:00Z,66,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-05,+919871044219,+919811200341,2026-09-02T18:38:00Z,78,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-06,+919871044219,+919811200341,2026-09-02T18:53:00Z,90,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-07,+919871044219,+919811200341,2026-09-02T19:08:00Z,102,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-08,+919871044219,+919811200341,2026-09-02T19:23:00Z,114,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-09,+919871044219,+919811200341,2026-09-02T19:38:00Z,126,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-10,+919871044219,+919811200341,2026-09-02T19:53:00Z,138,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-11,+919871044219,+919811200341,2026-09-02T20:08:00Z,150,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-12,+919871044219,+919811200341,2026-09-02T20:23:00Z,162,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-13,+919871044219,+919811200341,2026-09-02T20:38:00Z,174,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-DEL-0902-14,+919871044219,+919811200341,2026-09-02T21:45:00Z,142,VOICE,TOW-DEL-KASHMERE-482,358912091823901,864201049281720
CDR-COORD-0902-01,+919871044219,+919711588201,2026-09-02T21:50:00Z,45,VOICE,TOW-DEL-KASHMERE-482,358912091823901,354019280192831
CDR-COORD-0902-02,+919871044219,+919711588201,2026-09-02T22:00:00Z,60,VOICE,TOW-DEL-KASHMERE-482,358912091823901,354019280192831
CDR-COORD-0902-03,+919871044219,+919711588201,2026-09-02T22:10:00Z,75,VOICE,TOW-DEL-SINGHU-109,358912091823901,354019280192831
CDR-COORD-0902-04,+919871044219,+919711588201,2026-09-02T22:20:00Z,90,VOICE,TOW-DEL-SINGHU-109,358912091823901,354019280192831
CDR-COORD-0902-05,+919871044219,+919711588201,2026-09-02T22:30:00Z,105,VOICE,TOW-DEL-SINGHU-109,358912091823901,354019280192831
